City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Ormara,PK,25.2088,64.6357,77.95,71,0,12.86,clear sky
214,Kota Kinabalu,MY,5.9749,116.0724,80.58,94,20,3.0,few clouds
215,Yerofey Pavlovich,RU,53.9667,121.9667,12.36,94,99,4.09,overcast clouds
216,Mayo,US,38.8876,-76.5119,54.95,39,75,12.66,broken clouds
217,Prabumulih,ID,-3.45,104.25,74.25,97,16,1.45,few clouds
218,Katangli,RU,51.7102,143.2326,28.58,97,100,13.24,light snow
219,Upernavik,GL,72.7868,-56.1549,10.96,91,100,3.8,light snow
220,Saint George,US,37.1041,-113.5841,74.43,19,0,0.0,clear sky
221,Kachiry,KZ,53.0675,76.1036,11.73,93,100,9.73,overcast clouds
222,Lorengau,PG,-2.0226,147.2712,81.1,77,97,6.98,overcast clouds
223,Ancud,CL,-41.8697,-73.8203,56.23,87,100,18.66,light rain
224,Pangnirtung,CA,66.1451,-65.7125,24.8,58,75,17.27,broken clouds
225,Kalemie,CD,-5.9475,29.1947,73.89,82,41,0.65,scattered clouds
226,Mapiripan,CO,2.8892,-72.1256,80.85,75,97,3.6,overcast clouds
227,Susanville,US,40.4163,-120.653,60.1,44,100,1.99,overcast clouds
228,Acarau,BR,-2.8856,-40.12,83.84,72,100,10.56,overcast clouds
229,Oistins,BB,13.0667,-59.5333,84.29,61,40,19.57,scattered clouds
230,Buritizeiro,BR,-17.3511,-44.9622,95.72,29,43,2.21,scattered clouds
231,Meulaboh,ID,4.1363,96.1285,78.66,80,69,4.18,broken clouds
232,Mahebourg,MU,-20.4081,57.7,80.89,83,40,3.44,scattered clouds
233,Killybegs,IE,54.6333,-8.45,58.71,67,4,2.93,clear sky
234,Vallenar,CL,-28.5708,-70.7581,83.98,23,0,8.21,clear sky
235,Chortkiv,UA,49.0171,25.798,49.35,78,100,23.69,overcast clouds
236,Kavieng,PG,-2.5744,150.7967,81.25,77,97,7.23,light rain
237,Newcastle,AU,-32.9272,151.7765,66.7,97,75,4.61,broken clouds
238,Salalah,OM,17.0151,54.0924,77.58,56,5,1.25,clear sky
239,Manggar,ID,-2.8833,108.2667,78.71,84,30,3.02,scattered clouds
240,Volosovo,RU,59.4333,29.4833,24.66,83,100,20.89,light snow
241,Morgan City,US,29.6994,-91.2068,78.01,30,0,5.75,clear sky
242,Taoudenni,ML,22.6783,-3.9836,90.84,11,37,4.59,scattered clouds
243,Lebu,CL,-37.6167,-73.65,61.45,70,82,7.67,broken clouds
244,Vereya,RU,55.3447,36.1719,31.05,92,83,12.68,broken clouds
245,Hoorn,NL,52.6431,5.0578,56.95,79,5,8.88,clear sky
246,Tuatapere,NZ,-46.1333,167.6833,49.87,94,56,2.08,broken clouds
247,Biak,ID,-0.9131,122.8766,75.6,82,79,3.06,broken clouds
248,Shingu,JP,33.7333,135.9833,59.54,93,84,6.24,broken clouds
249,Am Timan,TD,11.0297,20.2827,89.73,10,47,5.19,scattered clouds
250,Bolobo,CD,-2.1667,16.2333,78.4,80,100,2.77,light rain
251,Foumban,CM,5.7291,10.9001,83.91,27,75,5.99,broken clouds
252,Yumen,CN,40.2833,97.2,40.98,28,32,8.77,scattered clouds
253,Richards Bay,ZA,-28.783,32.0377,70.32,88,86,2.86,overcast clouds
254,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,93,100,17.27,overcast clouds
255,Mount Gambier,AU,-37.8333,140.7667,48.11,93,100,6.91,fog
256,Yueyang,CN,29.3333,113.0919,52.2,83,100,3.29,overcast clouds
257,Churapcha,RU,62.0025,132.4325,-10.84,100,76,1.21,broken clouds
258,Qui Nhon,VN,13.7667,109.2333,78.53,92,14,3.36,few clouds
259,Broken Hill,AU,-31.95,141.4333,64.11,55,22,9.22,few clouds
260,Amahai,ID,-3.3333,128.9167,77.54,83,99,3.78,overcast clouds
261,Tripoli,LY,32.8752,13.1875,72.23,32,29,18.81,scattered clouds
262,Nanortalik,GL,60.1432,-45.2371,29.88,78,2,3.33,clear sky
263,Miyazu,JP,35.5333,135.1833,48.4,91,100,12.01,overcast clouds
264,Collie,AU,-33.3667,116.15,62.47,92,100,11.59,overcast clouds
265,Viedma,AR,-40.8135,-62.9967,74.44,22,37,8.81,scattered clouds
266,La Ronge,CA,55.1001,-105.2842,-1.95,32,0,3.44,clear sky
267,Pacific Grove,US,36.6177,-121.9166,63.39,83,20,7.0,few clouds
268,Campbell River,CA,50.0163,-125.2446,44.13,93,100,4.61,overcast clouds
269,Chalinze,TZ,-6.6378,38.354,78.93,76,54,4.94,broken clouds
270,Lima,PE,-12.0432,-77.0282,73.65,77,0,6.91,clear sky
271,Darnah,LY,32.767,22.6367,57.24,62,2,6.08,clear sky
272,Cayenne,GF,4.9333,-52.3333,84.24,1,100,17.27,overcast clouds
273,Alenquer,BR,-1.9417,-54.7383,84.81,69,78,3.36,broken clouds
274,Oskemen,KZ,49.9565,82.6119,28.36,74,100,2.24,overcast clouds
275,Inirida,CO,3.8653,-67.9239,76.35,92,100,3.02,overcast clouds
276,Iqaluit,CA,63.7506,-68.5145,24.53,79,75,21.85,broken clouds
277,La Reforma,MX,25.0833,-108.05,79.56,31,100,7.0,overcast clouds
278,Ponta Do Sol,PT,32.6667,-17.1,62.13,78,99,15.19,overcast clouds
279,Ichnya,UA,50.8626,32.3942,44.98,73,98,20.85,overcast clouds
280,Aklavik,CA,68.2191,-135.0107,-7.6,71,20,9.22,few clouds
281,Cabinda,AO,-5.55,12.2,86.14,66,20,8.05,few clouds
282,Touros,BR,-5.1989,-35.4608,84.42,65,92,11.14,overcast clouds
283,Vila Velha,BR,-20.3297,-40.2925,93.15,70,0,10.36,clear sky
284,Maningrida,AU,-12.0667,134.2667,74.79,95,100,5.39,overcast clouds
285,Lakes Entrance,AU,-37.8811,147.981,51.17,90,5,4.47,clear sky
286,Hassleholm,SE,56.1591,13.7664,49.55,42,14,4.83,few clouds
287,Agadez,NE,19.75,10.25,78.39,9,72,9.46,broken clouds
288,Ornskoldsvik,SE,63.2909,18.7153,32.95,34,64,9.22,broken clouds
289,Amur,RU,54.0,128.0,10.94,100,100,3.2,overcast clouds
290,Boromlya,UA,50.6184,34.9704,45.23,86,100,18.68,light rain
291,Tiznit,MA,29.5833,-9.5,61.99,56,0,6.38,clear sky
292,Jieshi,CN,22.8134,115.8257,71.94,92,59,7.99,broken clouds
293,Bull Savanna,JM,17.8868,-77.5902,81.5,54,38,7.87,scattered clouds
294,Qaqortoq,GL,60.7167,-46.0333,29.73,62,2,5.37,clear sky
295,Beloha,MG,-25.1667,45.05,71.15,89,29,5.99,scattered clouds
296,Mogadishu,SO,2.0371,45.3438,82.17,78,71,10.22,broken clouds
297,Longyearbyen,SJ,78.2186,15.6401,1.24,66,20,10.36,few clouds
298,Trincomalee,LK,8.5711,81.2335,80.55,82,4,7.78,clear sky
299,Hasaki,JP,35.7333,140.8333,64.8,94,100,33.91,overcast clouds
300,San Cristobal,VE,7.7669,-72.225,78.98,44,54,7.25,broken clouds
301,Balclutha,NZ,-46.2339,169.75,45.72,99,39,2.95,scattered clouds
302,Glace Bay,CA,46.1969,-59.957,49.05,71,40,14.97,scattered clouds
303,Mizdah,LY,31.4451,12.9801,69.8,13,43,9.53,scattered clouds
304,Knyaginino,RU,55.8228,45.0349,33.93,99,100,15.79,snow
305,Polunochnoye,RU,60.8697,60.4153,22.17,92,94,9.4,overcast clouds
306,Quatre Cocos,MU,-20.2078,57.7625,80.71,81,3,9.51,light rain
307,Briancon,FR,44.9,6.65,37.29,70,15,5.26,few clouds
308,Yeppoon,AU,-23.1333,150.7333,71.38,69,99,9.19,overcast clouds
309,Prykolotne,UA,50.1604,37.3474,47.62,63,100,22.97,overcast clouds
310,Brus,RS,43.3836,21.0336,48.31,61,31,1.88,scattered clouds
311,Ust-Maya,RU,60.4167,134.5333,-10.41,100,93,1.79,overcast clouds
312,Ampanihy,MG,-24.7,44.75,71.96,84,34,8.5,scattered clouds
313,Daru,PG,-9.0763,143.2092,77.86,87,98,3.09,moderate rain
314,Spirit River,CA,55.7833,-118.8361,21.63,86,99,2.24,overcast clouds
315,Naze,JP,28.3667,129.4833,59.92,81,54,8.86,broken clouds
316,Abu Samrah,SY,35.3029,37.1841,50.52,66,38,23.47,light rain
317,Angra Dos Reis,BR,-23.0067,-44.3181,84.16,68,44,4.45,scattered clouds
318,Yining,CN,29.0361,114.5636,52.61,96,100,1.21,overcast clouds
319,Baft,IR,29.234,56.6057,54.05,18,0,8.93,clear sky
320,Felsoszentivan,HU,46.1971,19.1869,54.75,39,1,7.25,clear sky
321,Talnakh,RU,69.4865,88.3972,20.21,78,100,4.83,overcast clouds
322,Joshimath,IN,30.5667,79.5667,54.36,42,0,8.39,clear sky
323,Narsaq,GL,60.9167,-46.05,30.69,59,8,2.73,clear sky
324,Arman,RU,59.7,150.1667,-1.68,87,18,6.96,few clouds
325,Nouakchott,MR,18.0858,-15.9785,73.33,62,33,14.94,scattered clouds
326,Manokwari,ID,-0.8667,134.0833,78.1,81,93,3.65,overcast clouds
327,General Pico,AR,-35.6566,-63.7568,74.95,28,0,6.06,clear sky
328,Port Antonio,JM,18.18,-76.4612,86.0,58,83,8.28,broken clouds
329,Chuy,UY,-33.6971,-53.4616,66.88,76,96,15.61,overcast clouds
330,Chara,RU,56.9064,118.2631,10.6,84,97,2.37,overcast clouds
331,Poum,NC,-20.2333,164.0167,79.47,76,40,14.63,scattered clouds
332,Wencheng,CN,33.0559,113.7978,54.45,62,100,5.59,overcast clouds
333,Tulsipur,NP,28.131,82.2973,69.24,18,0,6.76,clear sky
334,Eten,PE,-6.9081,-79.8642,77.25,69,0,9.22,clear sky
335,Felipe Carrillo Puerto,MX,19.5833,-88.05,85.98,28,67,4.65,broken clouds
336,Kushmurun,KZ,52.4503,64.6311,21.78,91,100,11.52,overcast clouds
337,Genhe,CN,50.7833,121.5167,14.04,97,98,3.09,overcast clouds
338,Galveston,US,29.3669,-94.9669,82.09,45,0,14.97,clear sky
339,Chicama,PE,-7.8447,-79.1469,68.54,63,99,8.21,overcast clouds
340,Umm Lajj,SA,25.0213,37.2685,68.7,55,0,23.53,clear sky
341,Guilin,CN,25.2819,110.2864,55.51,80,79,10.13,broken clouds
342,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,19.57,scattered clouds
343,Port Blair,IN,11.6667,92.75,80.64,94,20,2.3,mist
344,Andenes,NO,69.3143,16.1194,27.93,55,100,13.18,light snow
345,Arucas,ES,28.1198,-15.5233,65.17,64,10,9.15,clear sky
346,Zhuhai,CN,22.2769,113.5678,73.11,94,40,6.91,scattered clouds
347,Pevek,RU,69.7008,170.3133,-10.75,97,60,7.74,broken clouds
