City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Saint George,US,2022-03-22 00:28:03,37.1041,-113.5841,64.63,19,0,12.66
97,Saint-Pierre,RE,2022-03-22 00:28:04,-21.3393,55.4781,78.48,91,100,17.27
98,Asau,RO,2022-03-22 00:28:04,46.4333,26.4,33.28,81,17,6.73
99,Kuytun,RU,2022-03-22 00:28:05,54.3419,101.5036,7.29,99,100,1.81
100,Tenango,MX,2022-03-22 00:28:05,18.65,-98.1833,87.67,19,0,11.03
101,Bubaque,GW,2022-03-22 00:28:06,11.2833,-15.8333,75.9,74,12,21.21
102,East London,ZA,2022-03-22 00:26:48,-33.0153,27.9116,70.2,85,4,9.4
103,Yellowknife,CA,2022-03-22 00:28:06,62.456,-114.3525,17.42,84,100,16.11
104,Mount Gambier,AU,2022-03-22 00:28:07,-37.8333,140.7667,66.11,68,40,11.5
105,Naze,JP,2022-03-22 00:28:08,28.3667,129.4833,65.32,91,100,16.6
106,Hermanus,ZA,2022-03-22 00:24:19,-34.4187,19.2345,66.79,89,3,9.46
107,Bengkulu,ID,2022-03-22 00:28:09,-3.8004,102.2655,76.14,84,94,4.76
108,Saint-Philippe,RE,2022-03-22 00:28:10,-21.3585,55.7679,78.39,90,93,11.61
109,Noumea,NC,2022-03-22 00:28:10,-22.2763,166.4572,84.18,99,92,7.67
110,Aguimes,ES,2022-03-22 00:28:10,27.9054,-15.4461,60.66,63,20,11.5
111,Hasaki,JP,2022-03-22 00:28:11,35.7333,140.8333,37.8,88,100,25.03
112,Manavalakurichi,IN,2022-03-22 00:28:11,8.1333,77.3,78.73,84,27,12.19
113,Faanui,PF,2022-03-22 00:28:12,-16.4833,-151.75,81.61,73,62,14.72
114,Jidong,CN,2022-03-22 00:28:12,45.2167,131.0833,26.51,60,5,10.74
115,Coquimbo,CL,2022-03-22 00:28:13,-29.9533,-71.3436,65.28,71,0,5.19
116,Jamestown,US,2022-03-22 00:23:40,42.097,-79.2353,47.84,49,100,8.05
117,Mahebourg,MU,2022-03-22 00:28:14,-20.4081,57.7,79.09,94,75,0.0
118,College,US,2022-03-22 00:28:14,64.8569,-147.8028,16.29,43,0,4.61
119,Aksarayskiy,RU,2022-03-22 00:28:15,46.7924,48.0119,33.82,73,99,19.51
120,Kruisfontein,ZA,2022-03-22 00:28:15,-34.0033,24.7314,62.89,90,0,3.74
121,Zhetysay,KZ,2022-03-22 00:28:15,40.7333,68.3,43.0,71,92,3.36
122,Adilcevaz,TR,2022-03-22 00:28:16,38.8039,42.7342,24.22,79,90,4.99
123,Alofi,NU,2022-03-22 00:28:16,-19.0595,-169.9187,84.09,79,75,8.05
124,Ponta Do Sol,PT,2022-03-22 00:28:17,32.6667,-17.1,63.05,73,100,7.94
125,Mirabad,AF,2022-03-22 00:28:17,30.4362,61.8383,62.89,25,1,10.58
126,Iqaluit,CA,2022-03-22 00:28:18,63.7506,-68.5145,-4.27,76,75,21.85
127,Ankang,CN,2022-03-22 00:28:18,32.68,109.0172,42.26,94,100,2.84
128,Broome,US,2022-03-22 00:28:19,42.2506,-75.833,46.89,56,0,3.44
129,Ucluelet,CA,2022-03-22 00:26:07,48.9329,-125.5528,48.51,93,100,1.01
130,Yabelo,ET,2022-03-22 00:28:19,4.8833,38.0833,61.63,66,40,5.55
131,Taksimo,RU,2022-03-22 00:29:20,56.3444,114.8794,11.28,83,98,1.41
132,Chuy,UY,2022-03-22 00:29:20,-33.6971,-53.4616,66.45,60,17,14.63
133,Horodok,UA,2022-03-22 00:29:21,49.1637,26.5839,38.28,81,6,6.91
134,Lasa,IT,2022-03-22 00:29:22,46.6166,10.7002,36.48,65,3,1.12
135,Balikpapan,ID,2022-03-22 00:29:22,-1.2675,116.8289,76.19,94,40,3.44
136,Choix,MX,2022-03-22 00:29:24,26.7092,-108.3219,78.78,16,0,12.19
137,Ambilobe,MG,2022-03-22 00:29:25,-13.2,49.05,73.54,96,17,2.06
138,Cabedelo,BR,2022-03-22 00:27:34,-6.9811,-34.8339,75.87,81,78,11.45
139,Port-Gentil,GA,2022-03-22 00:29:26,-0.7193,8.7815,80.91,78,63,10.49
140,Ostrovnoy,RU,2022-03-22 00:29:27,68.0531,39.5131,28.76,75,57,28.97
141,Salalah,OM,2022-03-22 00:29:28,17.0151,54.0924,69.89,35,0,3.44
142,Spornoye,RU,2022-03-22 00:29:28,50.8448,37.2913,33.37,94,57,7.25
143,Sao Joao Da Barra,BR,2022-03-22 00:29:28,-21.6403,-41.0511,71.96,83,99,15.19
144,Kimbe,PG,2022-03-22 00:29:29,-5.5502,150.1429,87.57,63,99,3.09
145,Sinop,TR,2022-03-22 00:29:29,41.7711,34.8709,23.76,93,99,4.32
146,Katobu,ID,2022-03-22 00:29:30,-4.9408,122.5276,79.47,88,100,0.81
147,Ingham,US,2022-03-22 00:29:31,42.6,-84.3833,61.02,55,100,9.22
148,Pangai,TO,2022-03-22 00:29:31,-19.8,-174.35,81.86,79,100,13.29
149,Ahuimanu,US,2022-03-22 00:29:32,21.4447,-157.8378,83.91,70,75,10.36
150,Barrow,US,2022-03-22 00:29:32,71.2906,-156.7887,-7.58,71,0,5.75
151,Hami,CN,2022-03-22 00:29:33,42.8,93.45,39.07,33,52,6.76
152,Ayagoz,KZ,2022-03-22 00:29:33,47.9714,80.4392,18.63,98,100,3.85
153,Geraldton,AU,2022-03-22 00:29:34,-28.7667,114.6,68.41,68,1,13.8
154,Krasnoturinsk,RU,2022-03-22 00:29:34,59.7666,60.2086,13.51,97,29,3.78
155,Thompson,CA,2022-03-22 00:29:35,55.7435,-97.8558,35.76,44,100,8.05
156,Gijon,ES,2022-03-22 00:29:19,43.5357,-5.6615,58.46,77,31,1.01
157,Saint-Augustin,CA,2022-03-22 00:29:35,51.226,-58.6502,30.09,97,100,19.42
158,Port Blair,IN,2022-03-22 00:29:36,11.6667,92.75,73.44,100,40,2.3
159,Puerto Ayora,EC,2022-03-22 00:29:37,-0.7393,-90.3518,80.55,90,70,5.01
160,Mount Isa,AU,2022-03-22 00:29:38,-20.7333,139.5,89.37,31,5,3.44
161,Ribeira Do Pombal,BR,2022-03-22 00:29:38,-10.8344,-38.5358,76.15,73,57,10.36
162,Los Llanos De Aridane,ES,2022-03-22 00:29:39,28.6585,-17.9182,58.75,76,0,4.61
163,Tezu,IN,2022-03-22 00:29:39,27.9167,96.1667,72.3,37,43,3.69
164,Egvekinot,RU,2022-03-22 00:29:40,66.3167,-179.1667,14.76,92,100,4.65
165,Qaanaaq,GL,2022-03-22 00:29:41,77.484,-69.3632,-5.58,87,100,5.61
166,Digby,CA,2022-03-22 00:29:41,44.6169,-65.7655,37.58,72,89,20.07
167,Hithadhoo,MV,2022-03-22 00:29:42,-0.6,73.0833,83.61,73,90,15.93
168,Killybegs,IE,2022-03-22 00:29:48,54.6333,-8.45,48.27,85,90,13.76
169,Galbshtadt,RU,2022-03-22 00:29:48,53.2264,78.9845,14.94,90,100,13.04
170,Champasak,LA,2022-03-22 00:29:49,14.75,106.0,77.88,94,95,2.17
171,Carutapera,BR,2022-03-22 00:29:49,-1.195,-46.02,75.9,94,96,2.59
172,Japura,ID,2022-03-22 00:29:49,-0.3167,102.35,76.06,87,97,1.23
173,Comodoro Rivadavia,AR,2022-03-22 00:29:50,-45.8667,-67.5,69.66,32,0,20.71
174,San Antonio,US,2022-03-22 00:27:00,29.4241,-98.4936,87.91,45,0,12.66
175,Torbay,CA,2022-03-22 00:29:50,47.6666,-52.7314,37.89,98,75,26.46
176,Goderich,CA,2022-03-22 00:30:26,43.7501,-81.7165,34.92,93,100,2.3
177,Dikson,RU,2022-03-22 00:30:52,73.5069,80.5464,0.93,95,100,15.26
178,Libenge,CD,2022-03-22 00:30:53,3.65,18.6333,74.62,70,100,4.12
179,Lorengau,PG,2022-03-22 00:30:54,-2.0226,147.2712,84.88,68,100,3.09
180,Kieta,PG,2022-03-22 00:30:54,-6.2167,155.6333,86.02,65,79,5.01
181,Kismayo,SO,2022-03-22 00:30:55,-0.3582,42.5454,78.44,81,0,11.65
182,Tonantins,BR,2022-03-22 00:30:56,-2.8731,-67.8022,73.96,94,100,1.23
183,Iralaya,HN,2022-03-22 00:30:56,15.0,-83.2333,78.3,79,98,12.19
184,Pitmoaga,BF,2022-03-22 00:30:57,12.2397,-1.8767,87.39,16,100,7.38
185,Nabire,ID,2022-03-22 00:30:57,-3.3667,135.4833,84.97,63,76,1.92
186,Vila Velha,BR,2022-03-22 00:30:58,-20.3297,-40.2925,71.55,92,75,12.66
187,Caslav,CZ,2022-03-22 00:30:59,49.911,15.3897,31.17,62,0,3.44
188,Rock Sound,BS,2022-03-22 00:30:59,24.9,-76.2,74.01,76,98,21.94
189,Nanortalik,GL,2022-03-22 00:31:00,60.1432,-45.2371,16.7,87,10,7.09
190,Port Hedland,AU,2022-03-22 00:31:01,-20.3167,118.5667,89.65,51,40,6.91
191,Bristol,US,2022-03-22 00:28:05,41.8334,-71.1662,52.03,33,0,5.75
192,Sandeid,NO,2022-03-22 00:31:03,59.5449,5.8636,41.49,98,100,3.89
193,Inhambane,MZ,2022-03-22 00:31:03,-23.865,35.3833,71.82,86,61,8.7
194,Klaksvik,FO,2022-03-22 00:31:03,62.2266,-6.589,43.72,87,99,18.05
195,Ixtlan Del Rio,MX,2022-03-22 00:31:04,21.0333,-104.3667,81.41,12,30,5.57
196,Beidao,CN,2022-03-22 00:31:04,34.5686,105.8933,46.08,74,100,1.74
197,Souillac,MU,2022-03-22 00:31:05,-20.5167,57.5167,79.18,94,75,0.0
198,Yatou,CN,2022-03-22 00:31:06,37.15,122.3833,43.18,38,0,12.26
199,Bambous Virieux,MU,2022-03-22 00:31:06,-20.3428,57.7575,79.05,94,75,0.0
200,Longyearbyen,SJ,2022-03-22 00:31:07,78.2186,15.6401,21.04,58,75,26.46
201,Kavieng,PG,2022-03-22 00:31:07,-2.5744,150.7967,84.85,69,100,4.47
202,Chokurdakh,RU,2022-03-22 00:31:08,70.6333,147.9167,5.25,93,100,16.42
203,Swellendam,ZA,2022-03-22 00:31:08,-34.0226,20.4417,67.91,88,15,3.87
204,Westport,US,2022-03-22 00:31:09,41.1415,-73.3579,56.01,37,0,16.11
205,Kibre Mengist,ET,2022-03-22 00:31:09,5.8833,38.9833,58.26,89,70,2.1
206,Nioro,GM,2022-03-22 00:31:10,13.35,-15.75,77.56,33,75,9.33
207,Worland,US,2022-03-22 00:29:07,44.0169,-107.9554,43.88,42,0,4.61
208,Whitehaven,GB,2022-03-22 00:31:11,54.549,-3.5841,50.65,73,94,1.99
209,Wanganui,NZ,2022-03-22 00:31:11,-39.9333,175.05,74.75,59,79,2.48
210,Itoman,JP,2022-03-22 00:31:12,26.1247,127.6694,75.4,96,75,17.27
211,Ilulissat,GL,2022-03-22 00:31:12,69.2167,-51.1,-2.18,50,17,1.14
212,Opuwo,NA,2022-03-22 00:31:13,-18.0607,13.84,70.18,81,88,6.15
213,Samarai,PG,2022-03-22 00:31:13,-10.6167,150.6667,86.88,65,29,8.9
214,Kerema,PG,2022-03-22 00:31:14,-7.9631,145.7785,86.59,63,100,5.82
215,Coihaique,CL,2022-03-22 00:31:14,-45.5752,-72.0662,53.55,62,75,5.75
216,Riverton,US,2022-03-22 00:29:32,40.5219,-111.9391,44.83,41,0,13.8
217,Flin Flon,CA,2022-03-22 00:31:15,54.7682,-101.865,31.82,99,100,8.03
218,Vodnyy,RU,2022-03-22 00:31:15,63.5046,53.4095,24.4,90,100,10.25
219,Aklavik,CA,2022-03-22 00:31:16,68.2191,-135.0107,-0.11,83,89,2.8
220,Vicuna,CL,2022-03-22 00:31:16,-30.0319,-70.7081,70.97,49,0,0.27
221,San Bartolome De Tirajana,ES,2022-03-22 00:31:16,27.9248,-15.5733,53.31,71,20,11.5
222,Poya,NC,2022-03-22 00:31:17,-21.35,165.15,81.77,71,68,8.61
223,Stonewall,CA,2022-03-22 00:32:18,50.1344,-97.3268,44.28,99,100,3.15
224,Mersing,MY,2022-03-22 00:32:19,2.4312,103.8405,76.91,94,40,5.75
225,Lompoc,US,2022-03-22 00:30:52,34.6391,-120.4579,78.57,61,0,24.0
226,Saskylakh,RU,2022-03-22 00:32:20,71.9167,114.0833,1.6,97,100,3.83
227,Mogadishu,SO,2022-03-22 00:32:21,2.0371,45.3438,78.06,81,18,10.49
228,Ponta Delgada,PT,2022-03-22 00:32:21,37.7333,-25.6667,57.92,62,40,12.66
229,Mayo,US,2022-03-22 00:32:26,38.8876,-76.5119,64.56,54,0,4.61
230,Campechuela,CU,2022-03-22 00:32:27,20.2342,-77.2789,77.23,64,6,17.87
231,Tiksi,RU,2022-03-22 00:32:27,71.6872,128.8694,-12.08,97,38,0.69
232,Narrabri,AU,2022-03-22 00:32:28,-30.3167,149.7833,83.52,36,0,8.05
233,Zapolyarnyy,RU,2022-03-22 00:32:28,69.4154,30.8136,31.28,75,100,32.91
234,Prosvet,RU,2022-03-22 00:32:29,55.5703,65.0825,22.26,93,94,10.38
235,Kiunga,PG,2022-03-22 00:32:29,-6.1219,141.2906,84.0,72,100,0.38
236,Labuhan,ID,2022-03-22 00:32:30,-6.8844,112.2051,79.21,81,100,1.14
237,Jalu,LY,2022-03-22 00:32:30,29.0331,21.5482,49.73,67,7,11.12
238,Shikhazany,RU,2022-03-22 00:32:31,55.5605,47.393,18.7,93,17,6.31
239,Newport,GB,2022-03-22 00:32:31,51.5877,-2.9984,51.67,81,84,7.38
240,Gavle,SE,2022-03-22 00:32:32,60.6745,17.1417,35.2,71,0,5.23
241,Sorochinsk,RU,2022-03-22 00:32:32,52.4338,53.1583,17.8,93,9,10.4
242,Cabo San Lucas,MX,2022-03-22 00:30:33,22.8909,-109.9124,78.1,58,0,11.5
243,Airai,TL,2022-03-22 00:32:33,-8.9266,125.4092,72.39,60,72,1.01
244,Wakkanai,JP,2022-03-22 00:32:34,45.4094,141.6739,33.78,80,75,11.5
245,Necochea,AR,2022-03-22 00:32:34,-38.5473,-58.7368,59.68,82,100,17.69
