City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1003,Marsh Harbour,BS,73.49,few clouds,26.5412,-77.0636,Abaco Beach Resort
1006,Kimbe,PG,75.96,light rain,-5.5502,150.1429,Kimbe Bay Hotel
1008,Bhopal,IN,82.63,clear sky,23.2667,77.4,SPOT ON 63658 Shukla Lodge
1009,Hasilpur,PK,81.05,clear sky,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
1012,Altagracia De Orituco,VE,88.92,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
1014,Luangwa,ZM,81.16,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
1015,Awbari,LY,71.24,few clouds,26.5921,12.7805,فندق أوباري
1018,Noumea,NC,79.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
1019,Ubauro,PK,84.7,clear sky,28.1652,69.7289,Stamp Vendor
1026,Samana,DO,88.02,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
1031,Angoche,MZ,80.04,scattered clouds,-16.2325,39.9086,Guest House HESADA
1034,Moreira Sales,BR,76.95,overcast clouds,-24.0622,-53.0069,Casa Cristo Rei
1035,Begampur,IN,82.31,few clouds,22.7417,88.2433,Soumen Das
1040,Tomatlan,MX,89.8,few clouds,19.9333,-105.25,El Salvial
1041,Palimbang,PH,77.61,light rain,6.2106,124.1894,Felmar Beach resort
1051,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Beach Rotana
1052,Kovur,IN,78.64,few clouds,14.4833,79.9833,Hotel Yesh Park
1054,Kendari,ID,75.58,broken clouds,-3.945,122.4989,Hotel Wixel
1056,Tierranueva,MX,71.96,clear sky,21.6833,-100.5667,La nueva patria y libertad
1057,Bambui,BR,81.46,broken clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
1058,Manakara,MG,77.36,light rain,-22.1333,48.0167,La Residence Manakara
1059,Rodeo,US,71.06,clear sky,38.033,-122.2669,Captain's Cottage
1067,Nacala,MZ,78.6,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
1069,Loa Janan,ID,73.58,scattered clouds,-0.583,117.095,Kost bu jono
1070,Nileshwar,IN,81.73,scattered clouds,12.25,75.1,Neeleshwar Hermitage
1074,Hualmay,PE,75.79,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
1075,Manono,CD,71.6,broken clouds,-7.3,27.4167,Hotel hewa bora
1078,Buluang,PH,75.06,broken clouds,13.3068,123.3425,Enon Beach Resort
1079,Talara,PE,88.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
1081,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
1084,Barkhan,PK,71.67,clear sky,29.8977,69.5256,Sardar
1092,Puerto Madero,MX,89.8,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
1097,Roebourne,AU,83.34,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
1099,San Luis,AR,79.38,clear sky,-33.295,-66.3356,Huarpes Hotel
1103,Victoria Point,AU,70.16,broken clouds,-27.5833,153.3,Bay Retreat Motel
1104,Bom Jesus Do Galho,BR,88.39,scattered clouds,-19.8289,-42.3161,Hotel e Restaurante 'Seachegue'
1105,Ewa Beach,US,76.95,clear sky,21.3156,-158.0072,Base Lodging
1110,Resistencia,AR,87.1,few clouds,-27.4606,-58.9839,Niyat Urban Hotel
1111,Gawler,AU,70.25,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
1112,Barra Do Garcas,BR,88.38,scattered clouds,-15.89,-52.2567,Pousada Tropical
1113,Nautla,MX,76.57,broken clouds,20.2167,-96.7833,Casa Blanca
1114,Mahibadhoo,MV,82.22,clear sky,3.7833,72.9667,Omadhoo Inn
1115,Funtua,NG,85.17,scattered clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
1121,Ouesso,CG,79.52,overcast clouds,1.6136,16.0517,ABENIE Hotel
1124,Carrizal,VE,77.31,broken clouds,10.3499,-66.9863,Las Cocuizas
1126,Santiago Del Estero,AR,82.0,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
1127,Jamtara,IN,82.83,clear sky,23.95,86.8,SM LODGE AND ROOMS
1130,Chilca,PE,72.93,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
1131,Iquitos,PE,84.24,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
1132,Redding,US,73.62,clear sky,40.5865,-122.3917,Redding Inn & Suites
1136,Pitimbu,BR,81.19,light rain,-7.4706,-34.8086,Reserva do Abiaí
1138,Jardim,BR,81.95,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
1139,Maragogi,BR,81.55,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
1143,Bijapur,IN,87.1,broken clouds,16.8333,75.7,Rajdhani Lodge
1144,Ambad,IN,88.93,clear sky,19.6167,75.8,"चांगले नगर, अंबड शहर"
1145,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
1147,Uklana Mandi,IN,75.88,clear sky,29.5023,75.8849,वर्मा पेन्टर उकलाना मण्डी
1148,Tivaouane,SN,80.94,few clouds,14.9515,-16.8129,SOUNOU KEUR
1156,Senador Jose Porfirio,BR,84.87,scattered clouds,-2.5908,-51.9542,Pousada Novo Horizonte
1158,Poso,ID,77.25,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
